edge_id,source,target,baseline_flow,capacity
E01,S01,S02,320,600
E02,S02,S03,280,550
E03,S03,S04,450,700
E04,S04,S07,520,800
E05,S07,S08,410,750
E06,S08,S12,380,650
E07,S12,S16,420,700
E08,S01,S05,290,600
E09,S05,S04,240,500
E10,S01,S06,390,750
E11,S06,S04,310,600
E12,S06,S09,260,550
E13,S09,S08,220,500
E14,S07,S15,310,600
E15,S15,S16,340,650
E16,S01,S11,270,600
E17,S11,S10,210,500
E18,S10,S06,290,650
E19,S10,S13,260,550
E20,S13,S14,310,600
E21,S14,S12,250,500
E22,S09,S13,190,600
E23,S05,S06,180,550
E24,S03,S01,150,500
E25,S08,S15,220,550
E26,S14,S16,240,600
